ORF,YPD rep1 fitness,YPD rep1 Q-value,YPD rep2 fitness,YPD rep2 Q-value,YPG fitness,YPG Q-value,YPE fitness,YPE Q-value,SC fitness,SC Q-value,OAK fitness,OAK Q-value,ETH fitness,ETH Q-value,Gene.primaryIdentifier,Gene.symbol,Gene.name,Gene.functionSummary,Gene.phenotypeSummary,Gene.briefDescription,Gene.description,Gene.length,Gene.chromosomeLocation.start,Gene.chromosomeLocation.end,Gene.chromosome.primaryIdentifier,GO.Slim
YAL001C,0.969,0.01253,0.9903,0.08526,0.8871,0,0.9602,0.00265,1.0131,0.02647,0.8678,3.00E-05,0.9992,0.37113,S000000001,TFC3,Transcription Factor class C,Subunit of the transcription factor TFIIIC complex; involved in recruiting TFIIIB to chromatin for transcription of RNA genes by RNA polymerase III|uniprot_proteome=UP000002311,"Essential gene; conditional mutants display abnormal protein distribution of condensin complex subunit proteins, Brn1p and Scc4p resulting in decreased association of these proteins with chromosomes; heterozygous null mutant shows a decreased rate of growth",Subunit of RNA polymerase III transcription initiation factor complex,Subunit of RNA polymerase III transcription initiation factor complex; part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding; largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC),3573,147594,151166,chrI,"DNA binding;nucleic acid binding transcription factor activity;transcription factor activity, protein binding"
YAL002W,0.9185,0,0.9,0,0.9235,0,0.8953,0,0.9486,0,0.1599,0,0.964,0,S000000002,VPS8,Vacuolar Protein Sorting,A GTPase binding protein anchor that is subunit of the CORVET endosomal tethering complex; involved in protein targeting during late endosome to vacuole transport|uniprot_proteome=UP000002311,"Non-essential gene; null mutant accumulates RNA of proton and protein transporters (PMA1, PTR2), has strong defect in vacuolar fragmentation; reduced protein function results in defective golgi to vacuole transport, via the pre-vacuolar compartment (PVC) and enlarged vacuoles; haploinsufficient",Membrane-binding component of the CORVET complex,Membrane-binding component of the CORVET complex; involved in endosomal vesicle tethering and fusion in the endosome to vacuole protein targeting pathway; interacts with Vps21p; contains RING finger motif,3825,143707,147531,chrI,enzyme binding
YAL004W,1.0083,0.36167,1.0094,0.09289,0.9514,0,0.9602,0.00266,1.0372,0,0.8117,0,1.0058,0.20994,S000002136,,,,,Dubious open reading frame,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps verified gene SSA1/YAL005C",648,140760,141407,chrI,molecular function unknown
YAL005C,0.9966,0.47376,1.0038,0.31574,0.9374,0,0.9197,0,1.0301,0,0.7887,0,1.0017,0.34266,S000000004,SSA1,Stress-Seventy subfamily A,"ATPase subunit of the chaperonin-containing T-complex (CCT, TriC); involved in protein folding, nuclear import, stress granule disassembly, and clathrin coat disassembly; localizes to many places in the cell, including the cell wall, vacuolar and plasma membranes, and the nucleus|uniprot_proteome=UP000002311",Non-essential gene; both null and dominant negative mutants have an increased accumulation of prions; overexpression results in larger aggregates in fewer numbers; heterozygous diploid mutant had decreased fitness,ATPase involved in protein folding and NLS-directed nuclear transport,"ATPase involved in protein folding and NLS-directed nuclear transport; member of HSP70 family; required for ubiquitin-dependent degradation of short-lived proteins; forms chaperone complex with Ydj1p; localized to nucleus, cytoplasm, cell wall; 98% identical to paralog Ssa2p with different functional specificity in propagation of yeast [URE3] prions, vacuolar-mediated degradations of gluconeogenesis enzymes; general targeting factor of Hsp104p to prion fibrils",1929,139503,141431,chrI,ATPase activity;RNA binding;hydrolase activity;unfolded protein binding
YAL007C,0.9909,0.34477,1.0043,0.29189,1.0127,0.1129,1.0182,0.11565,1.0275,1.00E-05,0.9477,0.10557,1.0075,0.16196,S000000005,ERP2,Emp24p/Erv25p Related Protein,Component of the COP II vesicle that is involved in ER to Golgi vesicle mediated transport of Gas1p and retention of Kar2 (BIP) in the ER|uniprot_proteome=UP000002311,Non-essential gene; null mutant is defective in Golgi-to-ER transport and protein processing,Member of the p24 family involved in ER to Golgi transport,"Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; role in misfolded protein quality control; forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP2 has a paralog, ERP4, that arose from the whole genome duplication",648,137698,138345,chrI,molecular function unknown
YAL008W,1.0044,0.45082,1.0025,0.37905,1.009,0.18729,1.0162,0.14371,1.0514,0,1.0101,0.4533,1.0002,0.38595,S000000006,FUN14,Function Unknown Now,Protein whose biological role is unknown; localized to the mitochondrial outer membrane in large scale studies|uniprot_proteome=UP000002311,Non-essential gene; heterozygous null mutant shows decreased fitness; null mutant displays increased competitive fitness on minimal media; overexpression results in a G1 phase arrest or delay,Integral mitochondrial outer membrane (MOM) protein,"Integral mitochondrial outer membrane (MOM) protein; dosage suppressor of an MDM10 null that reduces ERMES-related phenotypes, such as alterations in mitochondrial morphology, protein complex assembly, and lipid profile; dosage suppressor of MDM12, MDM34, and MMM1 null mutant growth defects; novel mechanism of MOM import involving Tom70p, the TOM complex, and the TIM23 complex, requiring mitochondrial membrane potential and processing by the IMP complex for correct biogenesis",597,136914,137510,chrI,molecular function unknown
YAL009W,0.8571,0,0.8737,0,0.7478,0,0.9137,0,0.9875,0.03377,0.5651,0,0.8918,0,S000000007,SPO7,SPOrulation,Subunit of the membrane Nem1-Spo7 phosphoprotein phosphatase complex involved in nuclear envelope organization and regulation of phospholipid biosynthesis; positive regulator of phosphatidate phosphatase|uniprot_proteome=UP000002311,Non-essential gene; null and conditional mutants have decreased sporulation efficiency; null mutants display abnormal nuclear and endoplasmic reticulum morpholgies; heterozygous null mutant displays decreased fitness,Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme,"Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme; regulates nuclear growth by controlling phospholipid biosynthesis, required for normal nuclear envelope morphology, premeiotic replication, and sporulation",780,135854,136633,chrI,hydrolase activity;phosphatase activity
YAL011W,0.9393,0,0.9272,0,1.0247,0.00739,1.0133,0.19194,1.0366,0,0.833,0,0.8425,0,S000000009,SWC3,SWr Complex,,,Protein of unknown function,"Protein of unknown function; component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae",1878,132199,134076,chrI,molecular function unknown
YAL013W,0.8895,0,0.8735,0,0.8357,0,0.7859,0,0.9708,0,1.0074,0.47581,0.5906,0,S000000011,DEP1,Disability in regulation of Expression of genes involved in Phospholipid biosynthesis,,"Non-essential gene; null mutant has increased acetylation of histone H4 and increased silencing at telomeres, rDNA and HMR loci",Component of the Rpd3L histone deacetylase complex,"Component of the Rpd3L histone deacetylase complex; required for diauxic shift-induced histone H2B deposition onto rDNA genes; transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation",1218,129270,130487,chrI,molecular function unknown
YAL014C,1.0383,0.00182,1.0057,0.22697,1.0576,0,1.0556,3.00E-05,1.0666,0,0.993,0.47798,1.0038,0.27503,S000000012,SYN8,SYNtaxin,,Non-essential gene; vacuolar protein import is defective in the null mutant; null mutant has higher resistance to low pH,Endosomal SNARE related to mammalian syntaxin 8,Endosomal SNARE related to mammalian syntaxin 8,768,128252,129019,chrI,other
